Date,Close
5/25/2018,39.28
5/29/2018,39
5/30/2018,40.71
5/31/2018,40
6/1/2018,38.97
6/4/2018,39.18
6/5/2018,39.25
6/6/2018,39.58
6/7/2018,41.75
6/8/2018,42.24
6/11/2018,44.6
6/12/2018,42.76
6/13/2018,43.32
6/14/2018,42.89
6/15/2018,41.61
6/18/2018,42.84
6/19/2018,43.26
6/20/2018,45.68
6/21/2018,44.36
6/22/2018,44.76
6/25/2018,43.14
6/26/2018,44.17
6/27/2018,45.89
6/28/2018,45.94
6/29/2018,46.75
7/2/2018,44.68
7/3/2018,45.78
7/5/2018,46.33
7/6/2018,46.91
7/9/2018,48.4
7/10/2018,48.61
7/11/2018,47.68
7/12/2018,47.07
7/13/2018,47.45
7/16/2018,46
7/17/2018,45.26
7/18/2018,44.46
7/19/2018,44.55
7/20/2018,44.38
7/23/2018,44.35
7/24/2018,45.05
7/25/2018,45.7
7/26/2018,45.72
7/27/2018,45.01
7/30/2018,46.06
7/31/2018,46
8/1/2018,44.94
8/2/2018,44.41
8/3/2018,45.15
8/6/2018,45.64
8/7/2018,46.38
8/8/2018,46.13
8/9/2018,43.29
8/10/2018,44.17
8/13/2018,43.69
8/14/2018,43.9
8/15/2018,41.98
8/16/2018,42.17
8/17/2018,42
8/20/2018,42.03
8/21/2018,42.67
8/22/2018,43.28
8/23/2018,42.86
8/24/2018,43.49
8/27/2018,43.77
8/28/2018,42.76
8/29/2018,43.73
8/30/2018,44.38
8/31/2018,43.83
9/4/2018,43.18
9/5/2018,43.92
9/6/2018,42.66
9/7/2018,42.87
9/10/2018,43.31
9/11/2018,44.09
9/12/2018,45.13
9/13/2018,44.54
9/14/2018,45.46
9/17/2018,45.78
9/18/2018,46.26
9/19/2018,46.8
9/20/2018,45.67
9/21/2018,45.96
9/24/2018,47.48
9/25/2018,47.78
9/26/2018,47.23
9/27/2018,47.43
9/28/2018,47.67
10/1/2018,48.36
10/2/2018,48.55
10/3/2018,48.88
10/4/2018,48.48
10/5/2018,47.98
10/8/2018,48
10/9/2018,49.3
10/10/2018,46.4
10/11/2018,44.63
10/12/2018,45.13
10/15/2018,44.57
10/16/2018,44.51
10/17/2018,43.28
10/18/2018,42.33
10/19/2018,42.1
10/22/2018,41.29
10/23/2018,39.78
10/24/2018,37.97
10/25/2018,38.15
10/26/2018,37.39
10/29/2018,36.18
10/30/2018,37.45
10/31/2018,37.83
11/1/2018,36.39
11/2/2018,35.94
11/5/2018,37.58
11/6/2018,37.34
11/7/2018,37.81
11/8/2018,36.02
11/9/2018,37.08
11/12/2018,36.05
11/13/2018,35.24
11/14/2018,36.12
11/15/2018,36.99
11/16/2018,37.43
11/19/2018,36.53
11/20/2018,34.67
11/21/2018,36.03
11/23/2018,34.86
11/26/2018,35.37
11/27/2018,35.08
11/28/2018,35.26
11/29/2018,35.54
11/30/2018,35.13
12/3/2018,36.49
12/4/2018,35.04
12/6/2018,33.9
12/7/2018,33.01
12/10/2018,31.26
12/11/2018,30.57
12/12/2018,31.33
12/13/2018,31.3
12/14/2018,30.24
12/17/2018,30.17
12/18/2018,29.24
12/19/2018,28.75
12/20/2018,27
12/21/2018,26.55
12/24/2018,25.4
12/26/2018,27.04
12/27/2018,26.74
12/28/2018,26.34
12/31/2018,26.25
1/2/2019,27.11
1/3/2019,27.18
1/4/2019,28.32
1/7/2019,28.93
1/8/2019,29.36
1/9/2019,30.86
1/10/2019,30.96
1/11/2019,31.1
1/14/2019,31.57
1/15/2019,31.75
1/16/2019,31.21
1/17/2019,31.69
1/18/2019,32.09
1/22/2019,31.52
1/23/2019,30.97
1/24/2019,31.84
1/25/2019,32.06
1/28/2019,32.29
1/29/2019,33.08
1/30/2019,33.4
1/31/2019,32.82
2/1/2019,32.65
2/4/2019,33.13
2/5/2019,32.83
2/6/2019,31.85
2/7/2019,30.53
2/8/2019,29.87
2/11/2019,30.35
2/12/2019,31.08
2/13/2019,32.28
2/14/2019,32.67
2/15/2019,33.3
2/19/2019,33.31
2/20/2019,33.8
2/21/2019,33.37
2/22/2019,33.47
2/25/2019,33.46
2/26/2019,33.09
2/27/2019,33.56
2/28/2019,33.18
3/1/2019,33.99
3/4/2019,33.67
3/5/2019,33.73
3/6/2019,32.73
3/7/2019,33.27
3/8/2019,31.95
3/11/2019,32.75
3/12/2019,33.68
3/13/2019,34.32
3/14/2019,34.27
3/15/2019,34.45
3/18/2019,35.01
3/19/2019,34.49
3/20/2019,35.29
3/21/2019,36.08
3/22/2019,34.82
3/25/2019,34.92
3/26/2019,35.66
3/27/2019,35.02
3/28/2019,35.09
3/29/2019,34.66
4/1/2019,34.97
4/2/2019,34.28
4/3/2019,33.06
4/4/2019,33.37
4/5/2019,35.57
4/8/2019,35.56
4/9/2019,34.88
4/10/2019,35.72
4/11/2019,35.64
4/12/2019,36.5
4/15/2019,35.95
4/16/2019,36.56
4/17/2019,36.84
4/18/2019,35.87
4/22/2019,37.09
4/23/2019,36.43
4/24/2019,35.48
4/25/2019,34.06
4/26/2019,33.06
4/29/2019,33.22
4/30/2019,32.91
